Agewt,ECG-0,ECG-1,BM-0,BM-1,CP-0,CP-1,CP-2,DB-0,DB-1,PFH-0,PFH-1,CHOL-0,CHOL-1,SCORE,Max-Score
0.085,0.096,0.000,0.992,0.000,0.000,0.000,0.028,0.000,0.594,0.637,0.000,0.509,0.000,2.941,
0.085,0.096,0.000,0.992,0.000,0.000,0.000,0.028,0.000,0.594,0.637,0.000,0.000,0.491,2.923,
0.085,0.096,0.000,0.992,0.000,0.000,0.000,0.028,0.000,0.594,0.000,0.363,0.509,0.000,2.667,
0.085,0.096,0.000,0.992,0.000,0.000,0.000,0.028,0.000,0.594,0.000,0.363,0.000,0.491,2.649,
0.085,0.096,0.000,0.000,0.008,0.040,0.000,0.000,0.406,0.000,0.637,0.000,0.509,0.000,1.781,
0.085,0.096,0.000,0.000,0.008,0.040,0.000,0.000,0.406,0.000,0.637,0.000,0.000,0.491,1.763,
0.085,0.096,0.000,0.000,0.008,0.040,0.000,0.000,0.406,0.000,0.000,0.363,0.509,0.000,1.507,
0.085,0.096,0.000,0.000,0.008,0.040,0.000,0.000,0.406,0.000,0.000,0.363,0.000,0.491,1.489,
0.085,0.096,0.000,0.000,0.008,0.040,0.000,0.000,0.000,0.594,0.637,0.000,0.509,0.000,1.969,
0.085,0.096,0.000,0.000,0.008,0.040,0.000,0.000,0.000,0.594,0.637,0.000,0.000,0.491,1.951,
0.085,0.096,0.000,0.000,0.008,0.040,0.000,0.000,0.000,0.594,0.000,0.363,0.509,0.000,1.695,
0.085,0.096,0.000,0.000,0.008,0.040,0.000,0.000,0.000,0.594,0.000,0.363,0.000,0.491,1.677,
0.085,0.096,0.000,0.000,0.008,0.000,0.932,0.000,0.406,0.000,0.637,0.000,0.509,0.000,2.673,
0.085,0.096,0.000,0.000,0.008,0.000,0.932,0.000,0.406,0.000,0.637,0.000,0.000,0.491,2.655,
0.085,0.096,0.000,0.000,0.008,0.000,0.932,0.000,0.406,0.000,0.000,0.363,0.509,0.000,2.399,
0.085,0.096,0.000,0.000,0.008,0.000,0.932,0.000,0.406,0.000,0.000,0.363,0.000,0.491,2.381,
0.085,0.096,0.000,0.000,0.008,0.000,0.932,0.000,0.000,0.594,0.637,0.000,0.509,0.000,2.861,
0.085,0.096,0.000,0.000,0.008,0.000,0.932,0.000,0.000,0.594,0.637,0.000,0.000,0.491,2.843,
0.085,0.096,0.000,0.000,0.008,0.000,0.932,0.000,0.000,0.594,0.000,0.363,0.509,0.000,2.587,
0.085,0.096,0.000,0.000,0.008,0.000,0.932,0.000,0.000,0.594,0.000,0.363,0.000,0.491,2.569,
0.085,0.096,0.000,0.000,0.008,0.000,0.000,0.028,0.406,0.000,0.637,0.000,0.509,0.000,1.769,
0.085,0.096,0.000,0.000,0.008,0.000,0.000,0.028,0.406,0.000,0.637,0.000,0.000,0.491,1.751,
0.085,0.096,0.000,0.000,0.008,0.000,0.000,0.028,0.406,0.000,0.000,0.363,0.509,0.000,1.495,
0.085,0.096,0.000,0.000,0.008,0.000,0.000,0.028,0.406,0.000,0.000,0.363,0.000,0.491,1.477,
